0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
I-34-10059,2024-03-13 11:49:39.881000+00:00,14.5,0,14.5,1.89,0,2024-03-13 11:49:39.881000+00:00,CA,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10060,2024-03-13 12:59:46.059000+00:00,6,0,6,0.78,0,2024-03-13 12:59:46.059000+00:00,Split Pay,6,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10061,2024-03-13 13:54:27.891000+00:00,2,0,2,0.26,0,2024-03-13 13:54:27.891000+00:00,Split Pay,2,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10062,2024-03-13 14:03:21.022000+00:00,2.25,0,2.25,0.29,0,2024-03-13 14:03:21.022000+00:00,Split Pay,2.25,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10063,2024-03-13 14:19:44.425000+00:00,20,0,20,2.61,0,2024-03-13 14:19:44.425000+00:00,Split Pay,20,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10064,2024-03-13 14:29:28.740000+00:00,14.5,0,14.5,1.89,0,2024-03-13 14:29:28.740000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10065,2024-03-13 15:21:34.685000+00:00,8,0,8,1.04,0,2024-03-13 15:21:34.685000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10066,2024-03-13 15:23:31.847000+00:00,11,0,11,1.43,0,2024-03-13 15:23:31.847000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10067,2024-03-13 15:30:06.200000+00:00,12,0,12,1.57,0,2024-03-13 15:30:06.200000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10068,2024-03-13 16:19:02.998000+00:00,6,0,6,0.78,0,2024-03-13 16:19:02.998000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10069,2024-03-13 16:19:33.546000+00:00,3,0,3,0.39,0,2024-03-13 16:19:33.546000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10070,2024-03-13 16:21:36.566000+00:00,30,0,30,3.91,0,2024-03-13 16:21:36.566000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10071,2024-03-13 16:26:56.468000+00:00,2,0,2,0.26,0,2024-03-13 16:26:56.468000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10072,2024-03-13 16:34:27.996000+00:00,0.5,0,0.5,0.07,0,2024-03-13 16:34:27.996000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10073,2024-03-13 16:38:19.644000+00:00,5,0,5,0.65,0,2024-03-13 16:38:19.644000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10074,2024-03-13 17:23:32.929000+00:00,5,0,5,0.65,0,2024-03-13 17:23:32.929000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10075,2024-03-13 17:23:39.804000+00:00,5,0,5,0.65,0,2024-03-13 17:23:39.804000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10076,2024-03-13 17:24:07.710000+00:00,2,0,2,0.26,0,2024-03-13 17:24:07.710000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10077,2024-03-13 17:24:21.742000+00:00,2,0,2,0.26,0,2024-03-13 17:24:21.742000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10078,2024-03-13 17:24:57.136000+00:00,2,0,2,0.26,0,2024-03-13 17:24:57.136000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10079,2024-03-13 17:25:08.527000+00:00,2,0,2,0.26,0,2024-03-13 17:25:08.527000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10080,2024-03-13 18:21:06.095000+00:00,5.25,0,5.25,0.68,0,2024-03-13 18:21:06.095000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10081,2024-03-13 18:23:30.537000+00:00,3.5,0,3.5,0.46,0,2024-03-13 18:23:30.537000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10082,2024-03-13 18:52:10.765000+00:00,2,0,2,0.26,0,2024-03-13 18:52:10.765000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
I-34-10083,2024-03-13 18:57:12.746000+00:00,7.5,0,7.5,0.98,0,2024-03-13 18:57:12.746000+00:00,CR,0,0,0,422,,34,80,,,FALSE,,,0,FALSE,,
